field_name;field_label_en;field_label_bn
group_cwc/CWC_1;CWC_1;CWC_1
group_cwc/CWC_2;CWC_2;CWC_2
group_cwc/CWC_3_a;CWC_3_a;CWC_3_a
group_cwc/CWC_3_b;CWC_3_b;CWC_3_b
group_cwc/CWC_4;CWC_4;CWC_4
group_education/EDU_1;EDU_1;EDU_1
group_education/EDU_2;EDU_2;EDU_2
group_education/EDU_3;EDU_3;EDU_3
group_education/EDU_4;EDU_4;EDU_4
group_education/EDU_5;EDU_5;EDU_5
group_education/EDU_6_a;EDU_6_a;EDU_6_a
group_education/EDU_6_b;EDU_6_b;EDU_6_b
group_education/EDU_6_c;EDU_6_c;EDU_6_c
group_education/EDU_7;EDU_7;EDU_7
group_education/EDU_8;EDU_8;EDU_8
group_education/EDU_9;EDU_9;EDU_9
group_education/EDU_10;EDU_10;EDU_10
group_education/EDU_11;EDU_11;EDU_11
group_education/EDU_12;EDU_12;EDU_12
group_education/EDU_13;EDU_13;EDU_13
group_education/EDU_14;EDU_14;EDU_14
group_education/EDU_15_a;EDU_15_a;EDU_15_a
group_education/EDU_15_b;EDU_15_b;EDU_15_b
group_food_security/FS_1;FS_1;FS_1
group_food_security/FS_2_a;FS_2_a;FS_2_a
group_food_security/FS_2_b;FS_2_b;FS_2_b
group_food_security/FS_3;FS_3;FS_3
group_food_security/FS_4;FS_4;FS_4
group_food_security/FS_5;FS_5;FS_5
group_food_security/FS_6;FS_6;FS_6
group_food_security/FS_7_a;FS_7_a;FS_7_a
group_food_security/FS_7_b;FS_7_b;FS_7_b
group_health/HEA_1;HEA_1;HEA_1
group_health/HEA_2_a;HEA_2_a;HEA_2_a
group_health/HEA_2_b;HEA_2_b;HEA_2_b
group_health/HEA_3;HEA_3;HEA_3
group_health/HEA_4_a;HEA_4_a;HEA_4_a
group_health/HEA_4_b;HEA_4_b;HEA_4_b
group_nutrition/NUT_1;NUT_1;NUT_1
group_nutrition/NUT_2;NUT_2;NUT_2
group_nutrition/NUT_3_a;NUT_3_a;NUT_3_a
group_nutrition/NUT_3_b;NUT_3_b;NUT_3_b
