field_name;field_label_en;field_label_uk
_uuid;Universally unique identifier;Універсальний унікальний ідентифікатор
access_education;Accessibility of education services in the area of collective site (enrollment in a school / kindergartens);Доступність освітніх послуг в районі місця компактного проживання (зарахування до школи/дитячого садка)
access_food;Food provider(s);Постачальники продуктів харчування
access_pss;Psychological support for residents available ;Наявність психологічної підтримки для мешканців 
access_water;Drinking water sources;Джерела питної води
accommodated;Modes of residents accomodation;Способи розміщення мешканців
adm1_pcode;Adm1 pcode;
adm2_pcode;Adm2 pcode;
adult_pss;PSS for adults ;ПСС для дорослих 
adult_pss_yes;PSS services available ;Доступні послуги ПСС 
allocation_plan;Allocation plan for IDPs with specific needs;План розміщення ВПО з особливими потребами
arrangement_of_a_bomb_shelter;Arrangement of a bomb shelter;
atm;ATMs available in a walking distance (less than 2 km) ;Банкомати в пішохідній доступності (менше 2 км) 
average_the_outage;Average the outage;
babyfood_products;Need in babyfood products;Потреба в продуктах дитячого харчування
babyfood_products_type;Type of babyfood products needed ;Потреба в продуктах дитячого харчування 
back_up_source_of_power;Back up source of power;
back_up_source_of_power_extent;Back up source of power extent;
bathing_facilities;Showers/baths available;Душові кабіни/ванни в наявності
bomb_shelter;Bomb shelter less than 10 min on foot or available in the site;Бомбосховище менш ніж за 10 хвилин пішки або доступне на території МКП
building_type;Type of building;Тип будівлі
cash_assistance;Cash assistance;
charged_money;Daily fee for individual (in UAH);Добова плата для однієї особи (у гривнях)
charging_points;Sufficiency of access to plugs;Достатність доступу до розеток
child_headed_households_number;;
children_0_5;No. of children (0-5 years old);Кількість дітей (0-5 років)
children_6_17;No. of children (6-17 years old);Кількість дітей (6-17 років)
cleaning_items;Need in cleaning items;Потреба в засобах для прибирання
cleaning_items_type;Type of cleaning items needed ;Тип необхідних засобів для прибирання 
cleaning_materials;Cleaning materials;
cleaning_responsible;Responsible for cleaning the site:;Відповідальні за прибирання території:
communal_spaces;Communal spaces on site for eating food available;Наявність місць загального користування для вживання їжі на території МКП
communications_equipment;Communications equipment;
complaints_about_heat_level;Complaints about heat level;
consulting_on_site_management;Consulting on site management;
date_assessment;Assessment date;Дата оцінювання
disability_showers;Disability-friendly showers available;Наявність душових кабін, пристосованих для людей з інвалідністю
disinfection_site_s_premises;Disinfection site s premises;
disruptions_with_heating;Disruptions with heating;
drying_machines;Availability of accessibility of dryer machines for the residents of the site;Доступність сушильних машин для мешканців МКП
electric_heater;Electric heater;
electricity_availability; Sufficiency of the site buildings' electricity capacity;Достатність електричної потужності будівелі МКП
enroll_system;Enrollment system for newly-arrived site residents ;Система реєстрації для новоприбулих мешканців МКП
eviction_reason;Reasons for eviction ;Причини виселення 
feedback_mechanism;Availability of feedback and complaint mechanism for the residents;Наявність механізму зворотного зв'язку та подання скарг для мешканців
female_headed_number;No. of female-headed households;Кількість домогосподарств, очолюваних жінками
field_name;field label en;field_label_uk
first_aid;Availability of first aid kits ;Наявність аптечок першої допомоги 
focal_point;Organization's focal point availability ;Доступність контактної особи організації 
food_products;Need in food products;Потреба в продуктах харчування
food_products_needs;Food products needs;
food_products_type;Types of food products needed ;Види необхідних продуктів харчування 
foreign_nationals_number;No. of foreign nationals;Кількість іноземних громадян
functioning_toilets;Functioning toilets;
gbv_report;Report GBV and human trafficking system available;Доступна система повідомлення про ГОН та торгівлю людьми
