formatted_name;icon_file_name ;thematic_label_en;thematic_label_uk
group_general_info;About;General information;Загальна інформація
group_site_information;Document;Site information;Інформація про центр
group_demography;Group;Demography;Демографічний профіль
group_protection;Protection;Protection & Information provision;Захищеність та інфозабезпечення
group_shelter;Shelter;Shelter;Проживання
group_wash;Water-source;Water, sanitation and hygiene;Водопостачання, санітарія та гігієна
group_site_management;Spontaneous-site;Site management;Управління центрами
group_public_services;School;Availability of public services;Доступ до послуг
group_food_security;Food-Security;Food Security;Продовольча безпека
group_healthcare;Health;Healthcare;Охорона здоров’я
group_nonfood;Non-food-items;Non-food items;Непродовольчі товари
group_hum_assistance;Partnership;Humanitarian Assistance;Отримана гуманітарна допомога
